lat,lon
25.6624036,-80.3247064
25.7064115,-80.2853264
25.7716927,-80.1888504
25.7810058,-80.1413189
25.8879775,-80.1652886
25.971192,-80.1409292
26.0065437,-80.3495814
26.0965281,-80.2518979
26.0965281,-80.2518979
26.153533,-80.117752
26.2425768,-80.2568353
26.2545901,-81.79995
26.2613195,-80.1012742
26.3658781,-80.1122571
26.6414156,-80.2062044
26.7207609,-80.0893355
26.8496709,-80.0945215
27.3376679,-82.5410331
27.9566643,-82.5084048
28.0174914,-82.734234
28.4491643,-81.4765302
28.5853986,-81.4797045
28.5853986,-81.4797045
28.606477,-81.36462
28.6624759,-81.3819919
29.4939809,-98.4828937
29.613701,-98.5112196
29.7394063,-95.4182558
29.7493038,-95.462209
29.7523705,-95.5001082
29.829328,-95.3250083
29.9207616,-90.1176615
29.9670768,-90.0844812
29.9985157,-95.562061
30.0018692,-90.1589307
30.1688616,-95.4708333
30.1688616,-95.4708333
30.1851293,-81.6266428
30.2196488,-97.8416446
30.2706676,-97.7532464
30.3076183,-97.9377502
30.3902739,-86.4202902
30.3924957,-90.084984
30.3924957,-90.084984
30.4062692,-97.7202672
30.4323525,-91.111206
30.4635558,-84.2708999
30.5357444,-97.8178574
30.6771889,-88.1510459
31.8351991,-106.5485884
32.0433386,-81.0719269
32.1857459,-80.7181271
32.2357635,-110.9216105
32.2749744,-110.8743557
32.3364878,-110.9783255
32.3546198,-90.1502735
32.3586502,-86.172928
32.4434213,-93.7273487
32.6996626,-97.4119102
32.7479508,-117.1580496
32.7669048,-97.0990566
32.7958611,-96.8016241
32.8024308,-79.8891111
32.8158244,-96.752273
32.8204597,-96.8144032
32.8716416,-96.7657217
32.8790865,-97.1554283
32.9021069,-96.9588593
32.9082624,-96.8028444
32.9528522,-96.8202827
33.0298172,-96.7969708
33.0727476,-97.0847075
33.1370234,-96.6490258
33.148038,-117.2892349
33.3184402,-111.892792
33.379584,-111.9297888
33.3998856,-112.0661825
33.4601137,-86.7525805
33.5062309,-112.0378952
33.543887,-117.7838495
33.5549115,-117.712867
33.5549115,-117.712867
33.5845331,-111.9790564
33.6165418,-117.873653
33.644612,-117.7448147
33.6537298,-111.9279174
33.7316386,-117.990911
33.754892,-118.1092531
33.7925384,-118.3309841
33.8157805,-84.3332624
33.8405524,-84.3812762
33.8405524,-84.3812762
33.847126,-118.3891143
33.9067604,-118.3906263
33.9096594,-117.8520984
33.9177523,-84.3798535
33.9481938,-84.5132683
33.9770366,-118.4173063
33.9804759,-84.4279466
33.9929864,-80.9754579
34.0011401,-118.4698838
