FulfillmentCenter,Location,Country,SquareFeet,YearOpened,Description of Operation
BOS5,"1000 Tech Center Drive, Stoughton, Massachusetts, 02072-4744",,"332,700",Nov-14,Sortation center to service Boston area
DBO2,"480 Sprague St., Dedham, Massachusetts, 02026",,"179,000",Aug-15,Sortation center and likely also a Prime Now Hub to service Boston area
BOS6,"201 Beacham Street, Everett, Massachusetts, 02149-5518",,"96,600",Jun-15,Amazon.Fresh  Delivery Station
DTW5,"Brownstown Business Center South, Building 9, 19991 Brownstown Center Drive, Trenton, Michigan, 48183",,"210,000",Oct-15,Sortation Center
MSP1,"Shenandoah Drive & 4th Avenue, Shakopee, Minnesota, 55379",,"820,000",Planned for 2017,"Planned and unconfirmedProposed $200 Million budgetSmall Sortable FC with 1,000 associates"
MSP5,"5825 11th Ave. E., Shakopee, Minnesota, 55379-3810",,"162,000",Aug-15,Sortation center to service Minneapolis / Saint Paul area
UMN1,"763 Kasota Ave., Minneapolis. Minnesota, 55414",,"35,000",Oct-15,Prime Now Hub with Food and Perishables
RN04,"8000 North Virginia Street, Reno, Nevada, 85906",,"634,000",Jan-15,"Large and Small Sortable  Facility replaced the Fernley, Nevada FC"
LAS2,"3837 Bay Lake Trail, North Las Vegas, Nevada, 89030",,"283,920",October 2008,Small SortableReturns Center
BOS1,"10 State Street, Nashua, New Hampshire, 03063",,"63,750",Jul-07,Small Sortable
EWR4,"50 New Canton Way, Robbinsville, New Jersey, 08691-2350",,"1,200,000", July2014,Robbinsville ships books and DVDs.2500 associates in this operation.
EWR5EWR6EWR7,"301 Blair Road #100, Woodbridge (Avenel), New Jersey, 07001275 Omar Ave., Avenel, New Jersey, 07001 ",,"565,400",Jun-13,"This is one of two fulfillment centers that total 967,000 square feet that were acquired by KTR Capital Partners from C&S Wholesale and renovated to suit Amazon.  Building 1 (EWR5) is a Returns Center & Sortation Center. EWR6 is Amazon.Fresh. EWR7 is Amazon Prime Pantry (Dry Grocery) and is in the same building as EWR5."
EWR9,"8003 Industrial Ave, Building A, Carteret, New Jersey, 07008-3529",,"1,064,515",Sep-15,"New Amazon.Fresh grocery fulfillment center announced in May, 2015.  Formerly a Wakefern full-line grocery distribution center.  500 associates."
